condition,content
rest,rest
language,animals
spatial,citysquare
faces,family
motor,badminton
language,tools
faces,friends
spatial,market
rest,rest
motor,tennis
spatial,tramstation
language,cities
faces,movieactors
rest,rest
motor,swimming
faces,athletes
spatial,trainstation
language,countries
rest,rest
motor,soccer
language,occupations
spatial,school
rest,rest
faces,tvactors
motor,highjump

