condition,content
places,church
rest,rest
words,fruits
faces,politicians
movements,climbing
rest,rest
places,basement
faces,lectureres
words,clothing
movements,huerdlerace
faces,teachers
rest,rest
places,promenade
words,vegetables
movements,archery
places,cityofkiel
faces,family
rest,rest
words,furniture
movements,ropeskipping
rest,rest
faces,friends
words,colors
places,univesity
movements,juggling

