condition,content
faces,movieactors
language,countries
rest,rest
spatial,market
motor,badminton
language,animals
rest,rest
faces,athletes
spatial,school
motor,swimming
rest,rest
language,animals
spatial,citysquare
faces,family
motor,badminton
language,tools
faces,friends
spatial,market
rest,rest
motor,tennis
spatial,church
rest,rest
language,fruit
faces,politicians
motor,climbing

